Iteration: 1, test error: 0.03, cv error: 0.0325, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.03, cv error: 0.0325, avg tree size: 15, num trees: 1
Iteration: 3, test error: 0.0266667, cv error: 0.0308333, avg tree size: 13, num trees: 2
Iteration: 4, test error: 0.03, cv error: 0.0325, avg tree size: 13, num trees: 2
Iteration: 5, test error: 0.02375, cv error: 0.0204167, avg tree size: 13, num trees: 3
Iteration: 6, test error: 0.0183333, cv error: 0.0175, avg tree size: 13, num trees: 3
Iteration: 7, test error: 0.02375, cv error: 0.0204167, avg tree size: 13, num trees: 3
Iteration: 8, test error: 0.0183333, cv error: 0.0175, avg tree size: 13, num trees: 3
Iteration: 9, test error: 0.0266667, cv error: 0.0308333, avg tree size: 13, num trees: 3
Iteration: 10, test error: 0.0183333, cv error: 0.0175, avg tree size: 13, num trees: 3
Iteration: 11, test error: 0.0158333, cv error: 0.0175, avg tree size: 13.5, num trees: 4
Iteration: 12, test error: 0.0183333, cv error: 0.0175, avg tree size: 13.5, num trees: 4
Iteration: 13, test error: 0.0133333, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 14, test error: 0.0133333, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 15, test error: 0.0133333, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 16, test error: 0.0141667, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 17, test error: 0.0125, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 18, test error: 0.0125, cv error: 0.01375, avg tree size: 13.4, num trees: 5
Iteration: 19, test error: 0.0125, cv error: 0.0133333, avg tree size: 13.3333, num trees: 6
Iteration: 20, test error: 0.0116667, cv error: 0.0133333, avg tree size: 13.3333, num trees: 6
Iteration: 21, test error: 0.0120833, cv error: 0.0120833, avg tree size: 13.2857, num trees: 7
Iteration: 22, test error: 0.0120833, cv error: 0.0120833, avg tree size: 13.2857, num trees: 7
Iteration: 23, test error: 0.0129167, cv error: 0.01125, avg tree size: 13.2857, num trees: 7
Iteration: 24, test error: 0.0129167, cv error: 0.01125, avg tree size: 13.2857, num trees: 7
Iteration: 25, test error: 0.0129167, cv error: 0.01125, avg tree size: 13.2857, num trees: 7
Iteration: 26, test error: 0.0129167, cv error: 0.01125, avg tree size: 13.2857, num trees: 7
Iteration: 27, test error: 0.01125, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 28, test error: 0.0116667, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 29, test error: 0.0125, cv error: 0.0120833, avg tree size: 13.25, num trees: 8
Iteration: 30, test error: 0.0116667, cv error: 0.0120833, avg tree size: 13.25, num trees: 8
Iteration: 31, test error: 0.01375, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 32, test error: 0.0129167, cv error: 0.0120833, avg tree size: 13.25, num trees: 8
Iteration: 33, test error: 0.0125, cv error: 0.0120833, avg tree size: 13.25, num trees: 8
Iteration: 34, test error: 0.0129167, cv error: 0.0129167, avg tree size: 13.25, num trees: 8
Iteration: 35, test error: 0.0133333, cv error: 0.0125, avg tree size: 13.25, num trees: 8
Iteration: 36, test error: 0.0133333, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 37, test error: 0.0129167, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 38, test error: 0.0129167, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 39, test error: 0.0133333, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 40, test error: 0.0133333, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 41, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 42, test error: 0.0125, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 43, test error: 0.0120833, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 44, test error: 0.0120833, cv error: 0.01125, avg tree size: 13.25, num trees: 8
Iteration: 45, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 46, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 47, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 48, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 49, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
Iteration: 50, test error: 0.0116667, cv error: 0.0116667, avg tree size: 13.25, num trees: 8
