Iteration: 1, test error: 0.0316667, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 2, test error: 0.0316667, cv error: 0.03, avg tree size: 15, num trees: 1
Iteration: 3, test error: 0.02875, cv error: 0.0345833, avg tree size: 14, num trees: 2
Iteration: 4, test error: 0.0316667, cv error: 0.03, avg tree size: 14, num trees: 2
Iteration: 5, test error: 0.0395833, cv error: 0.0441667, avg tree size: 13, num trees: 3
Iteration: 6, test error: 0.02, cv error: 0.0241667, avg tree size: 13, num trees: 3
Iteration: 7, test error: 0.0158333, cv error: 0.0195833, avg tree size: 13, num trees: 4
Iteration: 8, test error: 0.0145833, cv error: 0.0145833, avg tree size: 13, num trees: 4
Iteration: 9, test error: 0.0179167, cv error: 0.0179167, avg tree size: 13.4, num trees: 5
Iteration: 10, test error: 0.01625, cv error: 0.0154167, avg tree size: 13.5, num trees: 4
Iteration: 11, test error: 0.0129167, cv error: 0.0141667, avg tree size: 13, num trees: 5
Iteration: 12, test error: 0.01375, cv error: 0.01125, avg tree size: 13, num trees: 5
Iteration: 13, test error: 0.0141667, cv error: 0.0154167, avg tree size: 13, num trees: 5
Iteration: 14, test error: 0.01375, cv error: 0.0154167, avg tree size: 13, num trees: 5
Iteration: 15, test error: 0.01375, cv error: 0.0133333, avg tree size: 13.3333, num trees: 6
Iteration: 16, test error: 0.01375, cv error: 0.01, avg tree size: 13.3333, num trees: 6
Iteration: 17, test error: 0.01125, cv error: 0.00958333, avg tree size: 13, num trees: 7
Iteration: 18, test error: 0.0120833, cv error: 0.01125, avg tree size: 13, num trees: 7
Iteration: 19, test error: 0.0125, cv error: 0.00791667, avg tree size: 13, num trees: 7
Iteration: 20, test error: 0.0125, cv error: 0.00791667, avg tree size: 13, num trees: 7
Iteration: 21, test error: 0.0116667, cv error: 0.00875, avg tree size: 12.75, num trees: 8
Iteration: 22, test error: 0.01125, cv error: 0.00875, avg tree size: 12.75, num trees: 8
Iteration: 23, test error: 0.0129167, cv error: 0.0108333, avg tree size: 12.75, num trees: 8
Iteration: 24, test error: 0.0133333, cv error: 0.0108333, avg tree size: 12.75, num trees: 8
Iteration: 25, test error: 0.01125, cv error: 0.00958333, avg tree size: 12.7778, num trees: 9
Iteration: 26, test error: 0.0104167, cv error: 0.00833333, avg tree size: 12.7778, num trees: 9
Iteration: 27, test error: 0.01, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 28, test error: 0.01, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 29, test error: 0.01, cv error: 0.00875, avg tree size: 12.8, num trees: 10
Iteration: 30, test error: 0.01, cv error: 0.00875, avg tree size: 12.8, num trees: 10
Iteration: 31, test error: 0.00958333, cv error: 0.0104167, avg tree size: 12.8, num trees: 10
Iteration: 32, test error: 0.01, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 33, test error: 0.01, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 34, test error: 0.01, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 35, test error: 0.0104167, cv error: 0.00958333, avg tree size: 12.8, num trees: 10
Iteration: 36, test error: 0.0104167, cv error: 0.00916667, avg tree size: 13, num trees: 9
Iteration: 37, test error: 0.01, cv error: 0.00916667, avg tree size: 13, num trees: 9
Iteration: 38, test error: 0.01, cv error: 0.00916667, avg tree size: 13, num trees: 9
Iteration: 39, test error: 0.0104167, cv error: 0.00916667, avg tree size: 13, num trees: 9
Iteration: 40, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 41, test error: 0.01, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 42, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 43, test error: 0.01, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 44, test error: 0.01, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 45, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 46, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 47, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 48, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 49, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
Iteration: 50, test error: 0.0104167, cv error: 0.00958333, avg tree size: 13, num trees: 9
