Iteration: 1, test error: 0.02625, cv error: 0.0366667, avg tree size: 13, num trees: 1
Iteration: 2, test error: 0.02625, cv error: 0.0366667, avg tree size: 13, num trees: 1
Iteration: 3, test error: 0.0345833, cv error: 0.0304167, avg tree size: 14, num trees: 2
Iteration: 4, test error: 0.02625, cv error: 0.0366667, avg tree size: 14, num trees: 2
Iteration: 5, test error: 0.0216667, cv error: 0.03125, avg tree size: 13, num trees: 3
Iteration: 6, test error: 0.0120833, cv error: 0.02, avg tree size: 13, num trees: 3
Iteration: 7, test error: 0.0129167, cv error: 0.0166667, avg tree size: 13, num trees: 4
Iteration: 8, test error: 0.0120833, cv error: 0.02, avg tree size: 13, num trees: 4
Iteration: 9, test error: 0.02, cv error: 0.025, avg tree size: 12.6, num trees: 5
Iteration: 10, test error: 0.01125, cv error: 0.0141667, avg tree size: 12.6, num trees: 5
Iteration: 11, test error: 0.00708333, cv error: 0.0141667, avg tree size: 13, num trees: 6
Iteration: 12, test error: 0.0108333, cv error: 0.0179167, avg tree size: 13.4, num trees: 5
Iteration: 13, test error: 0.00708333, cv error: 0.01375, avg tree size: 13, num trees: 6
Iteration: 14, test error: 0.00833333, cv error: 0.0170833, avg tree size: 13, num trees: 6
Iteration: 15, test error: 0.00708333, cv error: 0.0120833, avg tree size: 12.7143, num trees: 7
Iteration: 16, test error: 0.0075, cv error: 0.0133333, avg tree size: 12.7143, num trees: 7
Iteration: 17, test error: 0.005, cv error: 0.0116667, avg tree size: 12.75, num trees: 8
Iteration: 18, test error: 0.00541667, cv error: 0.0116667, avg tree size: 12.75, num trees: 8
Iteration: 19, test error: 0.00625, cv error: 0.0125, avg tree size: 12.7778, num trees: 9
Iteration: 20, test error: 0.00625, cv error: 0.0125, avg tree size: 12.7778, num trees: 9
Iteration: 21, test error: 0.00541667, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 22, test error: 0.00541667, cv error: 0.0120833, avg tree size: 13, num trees: 10
Iteration: 23, test error: 0.00625, cv error: 0.0133333, avg tree size: 13, num trees: 10
Iteration: 24, test error: 0.00583333, cv error: 0.0129167, avg tree size: 13, num trees: 10
Iteration: 25, test error: 0.00666667, cv error: 0.0116667, avg tree size: 13, num trees: 10
Iteration: 26, test error: 0.00666667, cv error: 0.0120833, avg tree size: 13, num trees: 10
Iteration: 27, test error: 0.00666667, cv error: 0.0120833, avg tree size: 12.8182, num trees: 11
Iteration: 28, test error: 0.00625, cv error: 0.0104167, avg tree size: 12.8182, num trees: 11
Iteration: 29, test error: 0.00625, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 30, test error: 0.00625, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 31, test error: 0.00583333, cv error: 0.0104167, avg tree size: 12.8182, num trees: 11
Iteration: 32, test error: 0.00583333, cv error: 0.0104167, avg tree size: 12.8182, num trees: 11
Iteration: 33, test error: 0.00625, cv error: 0.0104167, avg tree size: 12.8182, num trees: 11
Iteration: 34, test error: 0.00625, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 35, test error: 0.00583333, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 36, test error: 0.00625, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 37, test error: 0.00583333, cv error: 0.01125, avg tree size: 12.8182, num trees: 11
Iteration: 38, test error: 0.00583333, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 39, test error: 0.00625, cv error: 0.0108333, avg tree size: 12.8182, num trees: 11
Iteration: 40, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 41, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 42, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 43, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 44, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 45, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 46, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 47, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 48, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 49, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
Iteration: 50, test error: 0.00625, cv error: 0.0108333, avg tree size: 13, num trees: 10
